ID,NAME,LATITUDE,LONGITUDE
69176499999,CLARK INTL,15.183,120.567
69185499999,VILLAMOR,14.517,121.017
69200499999,EDWIN ANDREWS AB,6.933,122.067
69705499999,TACLOBAN,11.233,125.033
69713499999,ILOILO,10.717,122.533
69717499999,MACTAN CEBU INTL,10.317,123.95
69719499999,ORMOC,11.067,124.567
69807499999,GUIUAN,11.033,125.75
74930699999,SANGA SANGA,5.047,119.743
74931599999,GUIUAN PHILIPPINES,11.033,125.716
98132099999,ITBAYAT,20.8,121.85
98133099999,CALAYAN,19.267,121.467
98134099999,BASCO RADAR,20.433,121.967
98135099999,BASCO,20.451,121.98
98136099999,BASCO RADAR,20.433,121.95
98222099999,VIGAN,17.555,120.356
98223099999,LAOAG INTL,18.178,120.532
98231099999,APARRI RADAR,18.367,121.617
98232099999,APARRI,18.367,121.633
98233099999,TUGUEGARAO,17.638,121.731
98321099999,STO. TOMAS,16.35,120.567
98322099999,CROW VALLEY GUNNERY RANGE,15.317,120.383
98323099999,NAULA POINT,15.7,119.967
98324099999,IBA/LUZON ISLAND,15.333,119.967
98325099999,DAGUPAN,16.083,120.35
98326099999,BASA AB,14.983,120.483
98327599999,CLARK INTL,15.183,120.55
98328099999,BAGUIO,16.375,120.62
98329099999,MUNOZ,15.733,120.933
98330099999,CABANATUAN,15.467,120.95
98333099999,BALER,15.73,121.5
98334099999,BALER RADAR,15.75,121.633
98336099999,CASIGURAN,16.267,122.133
98423599999,MAMBURAO,13.217,120.6
98425099999,MANILA,14.583,120.983
98426041231,SUBIC BAY WEATHER,14.8,120.267
98426099999,SUBIC BAY INTL,14.794,120.271
98427099999,TAYABAS,14.017,121.6
98428041224,SANGLEY POINT,14.5,120.9
98428099999,SANGLEY POINT AB,14.495,120.904
98429099999,NINOY AQUINO INTL,14.509,121.02
98429599999,NICHOLS AB,14.517,121.017
98430099999,SCIENCE GARDEN,14.65,121.05
98431099999,CALAPAN/MINDORO ISL,13.417,121.183
98432099999,AMBULONG,14.083,121.05
98433099999,TANAY,14.583,121.367
98434099999,INFANTA,14.75,121.65
98435099999,ALABAT,14.1,122.017
98436099999,FERNANDO AB,13.955,121.125
98437099999,SAN FRANCISCO,13.367,122.517
98437599999,MARINDUQUE,13.361,121.826
98438099999,JOMALIG / QUEZON,14.7,122.333
98439099999,DAET/BAGASBAS,14.117,122.95
98440099999,DAET,14.129,122.98
98442099999,PILI,13.583,123.267
98442599999,NAGA,13.585,123.27
98444099999,LEGAZPI,13.157,123.746
98446099999,VIRAC,13.576,124.206
98447099999,CATANDUANES RADAR,13.654,124.341
98526099999,CORON,12.217,120.2
98531099999,SAN JOSE,12.362,121.047
98536099999,ROMBLON,12.583,122.283
98536141231,CUBI POINT NAVAL AIR STATION,14.8,120.267
98537099999,KALIBO/AKLAN,11.683,122.383
98537599999,KALIBO/PANAY ISLAND,11.683,122.367
98538099999,ROXAS,11.598,122.752
98543099999,MASBATE,12.369,123.629
98545099999,CALBAYOG/WESTERN,12.067,124.533
98545599999,CALBAYOG/SAMAR ISL,12.083,124.55
98546099999,CATARMAN,12.502,124.636
98548099999,CATBALOGAN,11.783,124.883
98550099999,DANIEL Z ROMUALDEZ,11.228,125.028
98553099999,BORONGAN,11.667,125.45
98558099999,GUIUAN,11.036,125.742
98602099999,NANSHAN ISLAND,10.72,115.82
98618099999,PUERTO PRINCESA,9.742,118.759
98630099999,CUYO,10.85,121
98639599999,BACOLOD/NEGROS ISL,10.65,122.933
98642099999,DUMAGUETE,9.334,123.3
98644099999,TAGBILARAN,9.664,123.853
98644599999,MEDILLIN-CEBU,11.16,123.95
98645099999,LAHUG,10.333,123.9
98646099999,MACTAN CEBU INTL,10.308,123.979
98648099999,MAASIN,10.133,124.867
98653099999,SURIGAO,9.783,125.483
98654599999,TANDAG,9.072,126.171
98741099999,DIPOLOG,8.601,123.334
98742099999,PAGADIAN,7.827,123.458
98742599999,PAGADIAN/MINDANAO,7.833,123.45
98743099999,ILIGAN,8.13,124.215
98744599999,OZAMIS/MISAMIS,8.167,123.85
98745099999,MALABANG,7.617,124.059
98745599999,MALABANG,7.617,124.05
98746099999,COTOBATO,7.167,124.217
98746199999,COTABATO/MINDANAO,7.233,124.25
98747099999,LUMBIA AIRPORT,8.417,124.617
98748099999,CAGAYAN DE ORO,8.483,124.65
98749599999,DEL MONTE PLANTATION AIRSTRIP,8.348,124.851
98751099999,MALAYBALAY,8.15,125.133
98752099999,BUTUAN,8.95,125.483
98753099999,FRANCISCO BANGOY INTL,7.126,125.646
98754099999,DAVAO,7.067,125.6
98755099999,HINATUAN,8.367,126.333
98830099999,JOLO,6.05,121
98836099999,ZAMBOANGA INTL,6.922,122.06
98848599999,ALLAH VALLEY,6.367,124.751
98851041231,CUBI POINT NAVAL AIR STATION,14.8,120.267
98851099999,GEN. SANTOS,6.05,125.1
99999941224,SANGLEY POINT,14.5,120.917
99999941225,SAN JOSE,12.6,121
99999941226,LEYTE GULF NF,11.067,125.033
99999941227,MANILA NF,14.6,121
99999941228,MANILA NF,14.6,121
99999941229,MANILA,14.55,120.983
99999941230,OLONGAPO,14.817,120.283
99999941231,CUBI POINT NF,14.8,120.267
